sampleid,DATE,TARGET_TAXON,TOTAL
sample_96,7/9/2023,LYSIDICE,1
sample_10,7/9/2023,SAYELLA,45
sample_146,7/9/2023,SCOLETOMA HEBES,15
sample_161,7/9/2023,SPIRONTOCARIS SNYDERI,25
sample_89,7/9/2023,LIBINIA,41
sample_53,7/9/2023,CHAETOZONE,96
sample_138,7/9/2023,PERISTICHIA AGRIA,19
sample_139,7/9/2023,LEPTOSYNAPTA INHAERENS,70
sample_45,7/9/2023,WESTWOODILLA RECTIROSTRIS,86
sample_199,7/9/2023,BODOTRIIDAE,2
sample_32,7/9/2023,AMERICHELIDIUM,92
sample_40,7/9/2023,EUSIRUS,89
sample_65,7/9/2023,THALAMITA,7
sample_42,7/9/2023,LEPTOSTYLIS,0
sample_106,7/9/2023,ECHINODERMATA,97
sample_127,7/9/2023,CRANGON ALLMANNI,25
sample_183,7/9/2023,STYELA CLAVA,10
sample_107,7/9/2023,PSEUDOCUMA (PSEUDOCUMA) SIMILE,20
sample_94,7/9/2023,CHIRONOMUS,24
sample_68,7/9/2023,GALATHEA,0
sample_6,7/9/2023,PETROLISTHES ELONGATUS,149
sample_100,10/19/2023,NEPHTYS CAECA,4
sample_72,10/19/2023,CLYMENELLA,10
sample_53,10/19/2023,THELEPODINAE,3
sample_170,10/19/2023,ACANTHOHAUSTORIUS INTERMEDIUS,16
sample_136,10/19/2023,CIRROPHORUS FURCATUS,5
sample_92,10/19/2023,MUSCULUS,22
sample_121,10/19/2023,ARICIDEA (ACMIRA) CATHERINAE,11
sample_156,10/19/2023,GALATHEA DISPERSA,4
sample_124,10/19/2023,MICROPHTHALMUS PETTIBONEAE,21
sample_155,10/19/2023,KURTIELLA PLANULATA,6
sample_146,10/19/2023,ECHIURA,46
sample_100,10/19/2023,DIALYCHONE,1
sample_186,10/19/2023,BALANUS,1
sample_171,10/19/2023,HARTMANODES HARTMANAE,66
sample_46,10/19/2023,PHYLLODOCIDAE,0
sample_52,10/19/2023,CREPIDULA PLANA,36
sample_118,10/19/2023,ECHINARACHNIUS PARMA,19
sample_153,10/19/2023,ANOBOTHRUS,18
sample_200,10/19/2023,APLYSIA,1
sample_72,10/19/2023,SIGAMBRA SETOSA,61
sample_92,10/19/2023,MACOMA GOLIKOVI,1
sample_118,10/19/2023,METACARCINUS MAGISTER,8
sample_136,10/19/2023,DIASTYLIS BIDENTATA,3
sample_69,10/19/2023,NEPHTYS HYSTRICIS,47
sample_5,10/19/2023,MALMGRENIELLA DARBOUXI,54
sample_37,10/19/2023,APOPRIONOSPIO PYGMAEA,15
sample_13,10/19/2023,MYRIOWENIA ,12
sample_89,10/19/2023,SINISTROFULGUR SINISTRUM,16
sample_14,10/19/2023,MACTROMERIS CATILLIFORMIS,0
sample_60,10/19/2023,IDUNELLA QUINTANA,20
sample_38,10/19/2023,GAMMARUS,0
sample_61,10/19/2023,CYLINDROLEBERIS MARIAE,6
sample_24,10/19/2023,CERIANTHUS LLOYDII,0
sample_171,10/19/2023,POLYDORA HETEROCHAETA,25
sample_82,10/19/2023,DIPOLYDORA SOCIALIS,15
sample_8,10/19/2023,SABELLIDAE,1
sample_115,10/19/2023,SIGE BIFOLIATA,1
sample_152,10/19/2023,CNEMIDOCARPA MOLLIS,4
sample_69,10/19/2023,PAKYNUS BARNARDI,3
sample_159,10/19/2023,AUSTROVENUS STUTCHBURYI,4
sample_140,10/19/2023,THALASSINIDAE,17
sample_31,10/19/2023,BOONEA IMPRESSA,65
sample_161,10/19/2023,CIRRIFORMIA MOOREI,66
sample_104,10/19/2023,RHEPOXYNIUS DABOIUS,2
sample_104,10/19/2023,CALLISTA,29
sample_114,10/19/2023,AONIDES,1
sample_60,10/19/2023,NEANTHES ACUMINATA,12
sample_194,10/19/2023,PHYLLODINA SQUAMIFERA,7
sample_151,10/19/2023,SAYELLA,29
sample_162,10/19/2023,STHENELAIS VERRUCULOSA,11
sample_122,10/19/2023,AMPHICARPA ,2
sample_129,10/19/2023,BALANUS ,49
sample_19,10/19/2023,TYPOSYLLIS HYPERIONI,15
sample_132,10/19/2023,HOLOTHUROIDEA,22
sample_113,10/19/2023,EULIMASTOMA,6
sample_114,10/19/2023,CHAETOZONE SENTICOSA,2
sample_127,10/19/2023,LUMBRINERIS ANIARA,17
sample_158,10/19/2023,TRANSENNELLA,1
sample_5,2/10/2023,OWENIA FUSIFORMIS,23
sample_128,2/10/2023,EUSYLLIS BLOMSTRANDI,17
sample_71,2/10/2023,AMERITELLA MITCHELLI,32
sample_32,2/10/2023,LEMBOS WEBSTERI,33
sample_138,2/10/2023,MYSIDAE,7
sample_128,2/10/2023,CARDITIDAE,5
sample_128,2/10/2023,TUBIFICOIDES BAKERI,9
sample_73,2/10/2023,HARMOTHOE IMBRICATA,19
sample_28,2/10/2023,SCOLETOMA TENUIS,11
sample_7,2/10/2023,DRILONEREIS MAGNA,10
sample_156,2/10/2023,ELASMOPUS LEVIS,20
sample_107,2/10/2023,LEODAMAS RUBRUS,4
sample_178,2/10/2023,HAMINOEA,3
sample_108,2/10/2023,CHONE,15
sample_5,2/10/2023,CAULLERIELLA VENEFICA,13
sample_145,2/10/2023,RHEPOXYNIUS,7
sample_176,2/10/2023,AMPHARETINAE,6
sample_37,2/10/2023,XANTHIDAE,25
sample_83,2/10/2023,PRIONOSPIO STEENSTRUPI,12
sample_29,2/10/2023,MEDIOMASTUS CALIFORNIENSIS,13
sample_128,2/10/2023,EUSPIRA HEROS,30
sample_18,2/10/2023,LEODAMAS TEXANA,10
sample_45,2/10/2023,TRAVISIA CARNEA,1
sample_120,2/10/2023,ORBINIIDAE,6
sample_65,2/10/2023,GLYCERA ROBUSTA,13
sample_37,2/10/2023,EDWARDSIA ELEGANS,37
sample_21,2/10/2023,PSEUDOLEPTOCUMA MINUS,3
sample_44,2/10/2023,ORCHOMENELLA MINUTA,35
sample_60,2/10/2023,EUMIDA SANGUINEA,0
sample_101,2/10/2023,LUNARCA OVALIS,2
sample_7,2/10/2023,ODOSTOMIA,9
sample_29,2/10/2023,MONTICELLINA DORSOBRANCHIALIS,26
sample_56,2/10/2023,ECLYSIPPE ELIASONI,13
sample_29,2/10/2023,NUCULIDAE,13
sample_148,2/10/2023,EDWARDSIIDAE,2
sample_145,2/10/2023,MACOMA,52
sample_185,2/10/2023,MELITA NITIDA,39
sample_55,2/10/2023,AMERICAMYSIS BAHIA,10
sample_46,2/10/2023,GLYCERIDAE,7
sample_194,2/10/2023,ARICIDEA (ACMIRA) CATHERINAE,26
sample_180,2/10/2023,MAERELLA TENUIMANA,17
sample_29,2/10/2023,MAYERELLA ACANTHOPODA,20
sample_125,2/10/2023,MAGELONA DAKINI,7
sample_136,2/10/2023,MAORITOMELLA ALBULA,33
sample_196,3/8/2023,SCOLETOMA IMPATIENS,36
sample_196,3/8/2023,PINNOTHERIDAE,9
sample_55,3/8/2023,AMAEANA TRILOBATA,4
sample_77,3/8/2023,PILARGIS,12
sample_122,3/8/2023,EXOGONE (EXOGONE) LOUREI,10
sample_162,3/8/2023,APHELOCHAETA MARIONI,51
sample_9,3/8/2023,OPHELIIDAE,0
sample_191,3/8/2023,SABELLIDAE,3
sample_117,3/8/2023,LEMBOS WEBSTERI,11
sample_115,3/8/2023,GLYCERA,0
sample_130,3/8/2023,GAMMAROPSIS NITIDA,19
sample_197,3/8/2023,MICROPROTOPUS,10
sample_157,3/8/2023,CALLIANASSIDAE,13
sample_36,3/8/2023,NEPHASOMA,22
sample_3,3/8/2023,SPHAEROSYLLIS PERKINSI,35
sample_171,3/8/2023,ECLYSIPPE ELIASONI,24
sample_35,3/8/2023,LEUCON (LEUCON) NASICA,5
sample_34,3/8/2023,SYNCHELIDIUM,5
sample_14,3/8/2023,PARAPRIONOSPIO TREADWELLI,9
sample_15,3/8/2023,NATICIDAE,33
sample_46,3/8/2023,AMERITELLA VERSICOLOR,42
sample_196,3/8/2023,DIPOLYDORA QUADRILOBATA,4
sample_59,3/8/2023,UPOGEBIA,84
sample_111,3/8/2023,SIGAPATELLA SUPERSTES,6
sample_200,3/8/2023,POLYCIRRUS MEDUSA,48
sample_126,3/8/2023,CANCER BOREALIS,14
sample_18,3/8/2023,SYLLIDES BANSEI,9
sample_10,3/8/2023,PROTODRILIDAE,34
sample_104,3/8/2023,THALASSODRILIDES BELLI,16
sample_87,3/8/2023,NEANTHES ACUMINATA,13
sample_10,3/8/2023,NEOGURALEUS ,0
sample_116,3/8/2023,EUSYLLIS LAMELLIGERA,49
sample_57,3/8/2023,CHAOBORUS PUNCTIPENNIS,23
sample_141,3/8/2023,GLOBOSOLEMBOS LEAPAKAHI,24
sample_17,3/8/2023,AMALDA ,12
sample_17,3/8/2023,CLEANTIOIDES PLANICAUDA,22
sample_111,3/8/2023,ONUPHIS AFFINIS,38
sample_94,3/8/2023,CALOCARIS MACANDREAE,15
sample_191,3/8/2023,ALPHEUS HETEROCHAELIS,4
sample_73,3/8/2023,PHYLLODOCE ROSEA,57
sample_195,3/8/2023,PSEUDOCIRRATULUS ,38
sample_110,3/8/2023,STRUTHIOLARIA PAPULOSA,2
sample_65,3/8/2023,EPITONIUM MINORUM,25
sample_42,3/8/2023,STYELA GIBBSII,2
sample_183,3/8/2023,PILSBRYSPIRA NODATA,13
sample_30,3/8/2023,OWENIA FUSIFORMIS,6
sample_52,3/8/2023,DIOPATRA CUPREA,4
sample_73,3/8/2023,NICOMACHE,8
sample_70,3/8/2023,SCHWARTZIELLA,5
sample_13,3/8/2023,PRIAPULUS CAUDATUS,16
sample_193,3/8/2023,MALACOBDELLA GROSSA,4
sample_192,3/8/2023,BRANCHIOMALDANE,8
sample_45,8/2/2023,ERICTHONIUS FASCIATUS,99
sample_155,8/2/2023,UNCIOLA IRRORATA,63
sample_137,8/2/2023,STYELIDAE,111
sample_88,8/2/2023,MAGELONIDAE,79
sample_169,8/2/2023,PARVICARDIUM PINNULATUM,18
sample_116,8/2/2023,LIMNODRILUS HOFFMEISTERI,5
sample_65,8/2/2023,ARABELLA IRICOLOR,15
sample_173,8/2/2023,CAPRELLIDAE,11
sample_179,8/2/2023,AUSTROMINIUS MODESTUS,32
sample_10,8/2/2023,SERRATINA CHARLOTTAE,23
sample_131,8/2/2023,MUNNIDAE,121
sample_69,8/2/2023,TRYPANOSYLLIS ZEBRA,31
sample_123,8/2/2023,APISTOBRANCHUS TENUIS,135
sample_89,8/2/2023,CLAVODORUM,208
sample_30,4/22/2023,MELINNA,30
sample_77,4/22/2023,CIRROPHORUS AMERICANUS,20
sample_54,4/22/2023,CERAPUS SLAYERI,8
sample_97,4/22/2023,PAGURUS ARCUATUS,3
sample_23,4/22/2023,DIPLOCIRRUS HIRSUTUS,1
sample_145,4/22/2023,GYPTIS,17
sample_71,4/22/2023,YOLDIA LIMATULA,30
sample_138,4/22/2023,MICROPROTOPUS,17
sample_173,4/22/2023,STYLOCHIDAE,19
sample_54,4/22/2023,PHYLLODOCIDAE,22
sample_60,4/22/2023,APSEUDES,2
sample_117,4/22/2023,MYSIDAE,1
sample_74,4/22/2023,ACANTHOHAUSTORIUS SHOEMAKERI,25
sample_112,4/22/2023,ENSIS MINOR,3
sample_105,4/22/2023,GLYCERA DIBRANCHIATA,0
sample_113,4/22/2023,SIPUNCULA,14
sample_186,4/22/2023,CARDITIDAE,4
sample_19,4/22/2023,PINNOTHERINAE,4
sample_35,4/22/2023,CUMACEA,0
sample_108,4/22/2023,RHODINE,42
sample_84,4/22/2023,CHONE,17
sample_112,4/22/2023,LEMBOS WEBSTERI,0
sample_138,4/22/2023,SYLLINAE,1
sample_176,4/22/2023,SABACO CAROLINAE,13
sample_80,4/22/2023,SCOLOPLOS (LEODAMAS) RUBRA,33
sample_55,4/22/2023,SYNIDOTEA,28
sample_94,4/22/2023,DRILONEREIS MAGNA,14
sample_32,4/22/2023,GYPTIS BREVIPALPA,5
sample_191,4/22/2023,PROTOHAUSTORIUS WIGLEYI,2
sample_184,4/22/2023,AMEROCULODES EDWARDSI,2
sample_22,4/22/2023,THELEPUS SETOSUS,13
sample_120,4/22/2023,BOONEA IMPRESSA,17
sample_41,4/22/2023,HYPERETEONE FAUCHALDI,50
sample_124,4/22/2023,AONIDES PAUCIBRANCHIATA,1
sample_45,4/22/2023,PARAHAUSTORIUS LONGIMERUS,0
sample_131,4/22/2023,NEREIS LAMELLOSA,18
sample_138,4/22/2023,ACANTHOHAUSTORIUS INTERMEDIUS,52
sample_97,4/22/2023,KURTIELLA PLANULATA,9
sample_156,4/22/2023,LEITOSCOLOPLOS FRAGILIS,29
sample_177,4/22/2023,EULALIA BILINEATA,11
sample_168,4/22/2023,STHENELAIS BOA,6
sample_74,4/22/2023,MEDIOMASTUS CALIFORNIENSIS,29
sample_16,4/22/2023,COTONOPSIS LAFRESNAYI,0
sample_199,4/22/2023,EURYTELLINA NITENS,23
sample_179,4/22/2023,ELASMOPUS LEVIS,11
sample_173,4/22/2023,OGYRIDES ALPHAEROSTRIS,2
sample_83,4/22/2023,ACTEOCINA CANDEI,24
sample_32,4/22/2023,KINBERGONUPHIS SIMONI,15
sample_25,4/22/2023,MYADORA ,17
sample_185,4/22/2023,CERIANTHARIA,6
sample_118,4/22/2023,SCIONIDES RETICULATA,4
sample_146,4/22/2023,BITTIOLUM ALTERNATUM,36
sample_173,4/22/2023,FAUVELIOPSIDAE,6
sample_48,9/17/2023,NUCULA PROXIMA,1
sample_54,9/17/2023,SYLLIS,12
sample_87,9/17/2023,MICRURA,25
sample_4,9/17/2023,IDOTEA UROTOMA,1
sample_197,9/17/2023,MYA ARENARIA,20
sample_144,9/17/2023,PHASCOLION,23
sample_88,9/17/2023,EUCLYMENE,19
sample_164,9/17/2023,SPIOPHANES KROYERI,8
sample_14,9/17/2023,AMERITELLA VERSICOLOR,30
sample_83,9/17/2023,TRICHOBRANCHIDAE,27
sample_78,9/17/2023,TANAISSUS,5
sample_88,9/17/2023,PARANINOE BREVIPES,2
sample_19,9/17/2023,AUTOLYTINAE,0
sample_75,9/17/2023,DRILONEREIS,17
sample_126,9/17/2023,LANASSA VENUSTA,3
sample_22,9/17/2023,EDOTIA SP.,7
sample_1,9/17/2023,PSEUDOPOTAMILLA RENIFORMIS,4
sample_45,9/17/2023,CHONE,0
sample_50,9/17/2023,APISTOBRANCHUS TULLBERGI,9
sample_3,9/17/2023,GLOIOBDELLA ELONGATA,43
sample_86,9/17/2023,TURBONILLA SUMNERI,44
sample_83,9/17/2023,TIMARETE,13
sample_171,9/17/2023,CIRRATULIDAE,23
sample_89,9/17/2023,TECTIDRILUS DIVERSUS,58
sample_104,9/17/2023,BOCCARDIELLA HAMATA,43
sample_23,9/17/2023,OPHELIIDAE,2
sample_71,9/17/2023,TEREBELLIDES ATLANTIS,66
sample_2,9/17/2023,SCOLELEPIS (SCOLELEPIS) SQUAMATA,50
sample_127,9/17/2023,PHERUSA PLUMOSA,71
sample_36,9/17/2023,MYSTIDES BOREALIS,3
sample_155,9/17/2023,OENONIDAE,26
sample_11,9/17/2023,APOCOROPHIUM LACUSTRE,2
sample_48,9/17/2023,HUTCHINSONIELLA MACRACANTHA,95
sample_195,9/17/2023,ALENTIA GELATINOSA,15
sample_18,9/17/2023,IDOTEA,11
sample_179,9/17/2023,MESOGINELLA TRYPHENENSIS,8
sample_61,9/17/2023,BARNEA TRUNCATA,12
sample_87,9/17/2023,BEMLOS KUNKELAE,27
sample_112,9/17/2023,PETROLISTHES ARMATUS,21
sample_101,9/17/2023,TRITELLA PILIMANA,7
sample_176,9/17/2023,PSEUDOPOTAMILLA ,12
sample_101,9/17/2023,APHRODITIFORMIA,18
sample_26,9/17/2023,FLABELLIGERIDAE,1
sample_98,9/17/2023,XYMENE ,35
sample_121,9/17/2023,EDOTIA MONTOSA,17
sample_31,9/17/2023,NEOAMPHITRITE ROBUSTA,59
sample_8,2/4/2023,ANCISTROSYLLIS HARTMANAE,77
sample_32,2/4/2023,HIPPOMEDON,27
sample_1,2/4/2023,JAPONACTAEON PUNCTOSTRIATUS,25
sample_52,2/4/2023,LEPIDONOTUS VARIABILIS,2
sample_162,2/4/2023,DESSEROBDELLA PHALERA,9
sample_56,2/4/2023,PHYLLODOCE ARENAE,38
sample_107,2/4/2023,NEOMYSIS AMERICANA,21
sample_179,2/4/2023,THELEPUS SETOSUS,18
sample_129,2/4/2023,EXOGONINAE,9
sample_60,2/4/2023,CIROLANIDAE,6
sample_139,2/4/2023,HEMIPODIA SIMPLEX,7
sample_136,2/4/2023,SYNIDOTEA FOSTERI,0
sample_141,2/4/2023,GAMMAROPSIS NITIDA,8
sample_126,2/4/2023,ENSIS LEEI,148
sample_44,2/4/2023,LACUNA VINCTA,18
sample_33,2/4/2023,ERICHSONELLA FILIFORMIS,0
sample_160,2/4/2023,HYALINOECIA ,33
sample_199,2/4/2023,JOHNSTONIA CLYMENOIDES,22
sample_195,2/4/2023,CALLIOPIUS LAEVIUSCULUS,0
sample_176,2/4/2023,ONCHIDORIS,9
sample_20,2/4/2023,ZYGEUPOLIA RUBENS,11
sample_58,2/4/2023,PARAPRIONOSPIO ALATA,9
sample_92,2/4/2023,AMPELISCA CAREYI,56
sample_89,11/11/2023,GLYCINDE ARMIGERA,2
sample_30,11/11/2023,AMPHICTEIS,1
sample_21,11/11/2023,VEJDOVSKYELLA (MACHETNA) INTERMEDIA,26
sample_176,11/11/2023,FARGOA GIBBOSA,10
sample_21,11/11/2023,PAROUGIA ELIASONI,18
sample_41,11/11/2023,NEVERITA DELESSERTIANA,23
sample_137,11/11/2023,RATHBUNIXA SAYANA,7
sample_123,11/11/2023,MELITIDAE,0
sample_90,11/11/2023,NOTHRIA,31
sample_89,11/11/2023,THALASSEMA THALASSEMUM,10
sample_166,11/11/2023,TRYPHOSELLA SARSI,24
sample_85,11/11/2023,TAGELUS CALIFORNIANUS,1
sample_190,11/11/2023,HALCAMPA,28
sample_74,11/11/2023,SABELLIDAE,91
sample_186,11/11/2023,GLYCINDE ,16
sample_87,11/11/2023,AMPHIODIA PLANISPINA,4
sample_113,11/11/2023,AXIIDEA,18
sample_139,11/11/2023,ARICIDEA (ALLIA) ROBERTI,8
sample_188,11/11/2023,PERICLIMENAEUS,28
sample_174,11/11/2023,ARICIDEA (ACMIRA) LOPEZI,70
sample_40,11/11/2023,NINOE NIGRIPES,34
sample_51,11/11/2023,DUPLICARIA TRISTIS,45
sample_158,11/11/2023,ABLABESMYIA ANNULATA,10
sample_47,11/11/2023,EUSIRIDAE,16
sample_166,11/11/2023,LEONNATES ,12
sample_164,11/11/2023,SOLIDOBALANUS HESPERIUS,16
sample_49,11/11/2023,STREBLOSOMA,10
sample_108,11/11/2023,BETAEUS ,21
sample_67,11/11/2023,PESTARELLA TYRRHENA,25
sample_90,12/2/2023,EXOGONE,10
sample_90,12/2/2023,LINOPHERUS PAUCIBRANCHIATA,8
sample_176,12/2/2023,TEINOSTOMA BISCAYNENSE,12
sample_74,12/2/2023,ALVANIA COMPACTA,0
sample_159,12/2/2023,GONIADA BRUNNEA,1
sample_134,12/2/2023,COLUMBELLIDAE,5
sample_37,12/2/2023,APHRODITIFORMIA,8
sample_169,12/2/2023,MANAYUNKIA AESTUARINA,6
sample_57,12/2/2023,CAULLERIELLA ALATA,5
sample_6,12/2/2023,SYLLIS CORNUTA,23
sample_10,12/2/2023,EDOTIA MONTOSA,16
sample_15,12/2/2023,BIFLUSTRA ARBORESCENS,2
sample_35,12/2/2023,LUCINISCA NASSULA,3
sample_117,12/2/2023,ALCITHOE ARABICA,7
sample_114,12/2/2023,EUPOLYMNIA HETEROBRANCHIA,3
sample_39,12/2/2023,ACANTHOHAUSTORIUS UNCINUS,4
sample_153,12/2/2023,CARINOMELLA LACTEA,6
sample_42,12/2/2023,OWENIA,18
sample_29,12/2/2023,MACOMA TENTA,15
sample_60,12/2/2023,MAERA DANAE,15
sample_61,12/2/2023,PALAEMONIDAE,2
sample_149,12/2/2023,EPHESIELLA ABYSSORUM,18
sample_28,12/2/2023,OPHELINA ACUMINATA,11
sample_36,12/2/2023,RHEPOXYNIUS EPISTOMUS,1
sample_150,12/2/2023,NATATOLANA ,19
sample_37,12/2/2023,MACROCLYMENE ZONALIS,7
sample_136,12/2/2023,LINOPHERUS MICROCEPHALA,10
sample_145,12/2/2023,POTAMETHUS MURRAYI,7
sample_90,12/2/2023,ARTACAMA CONIFERI,47
sample_42,12/2/2023,FABRICINUDA,0
sample_144,12/2/2023,JASMINEIRA CANDELA,16
sample_43,12/2/2023,PSEUDOPOLYDORA CORALLICOLA,2
sample_140,12/2/2023,CANCER PRODUCTUS,8
sample_186,12/2/2023,CORAMBE PACIFICA,4
sample_196,12/2/2023,MANCOCUMA STELLIFERA,16
sample_73,12/2/2023,EUCLYMENINAE,116
sample_150,12/2/2023,KURTZIELLA ATROSTYLA,18
sample_42,12/2/2023,SPIOPHANES WIGLEYI,47
sample_146,12/2/2023,GONIADIDES,44
sample_62,12/2/2023,AMPHICTEIS GUNNERI,30
sample_2,12/2/2023,HEMILAMPROPS ROSEUS,8
sample_122,12/2/2023,HARPINIA DELLAVALLEI,30
sample_146,3/1/2023,PHORONIDA,3
sample_93,3/1/2023,DIASTYLIS POLITA,4
sample_10,3/1/2023,COSSURIDAE,15
sample_78,3/1/2023,EOBROLGUS SPINOSUS,19
sample_122,3/1/2023,CLYMENELLA ZONALIS,4
sample_200,3/1/2023,OXYUROSTYLIS SMITHI,29
sample_146,3/1/2023,TELLINA,3
sample_94,3/1/2023,LUNARCA OVALIS,3
sample_150,3/1/2023,COROPHIUM,14
sample_39,3/1/2023,STHENELAIS,8
sample_179,3/1/2023,PARANAIS LITORALIS,0
sample_113,3/1/2023,PECTINARIA,4
sample_184,3/1/2023,PISTA QUADRILOBATA,5
sample_2,3/1/2023,MYRIOCHELE,19
sample_27,3/1/2023,PODARKEOPSIS,13
sample_18,3/1/2023,LEVINSENIA GRACILIS,2
sample_22,3/1/2023,ASABELLIDES OCULATA,3
sample_46,3/1/2023,SYLLINAE,0
sample_168,3/1/2023,NEPHTYS INCISA,8
sample_36,3/1/2023,NUCULANA MINUTA,6
sample_58,3/1/2023,PARANAITIS POLYNOIDES,31
sample_30,3/1/2023,LEITOSCOLOPLOS ROBUSTUS,10
sample_120,3/1/2023,DEUTELLA INCERTA,0
sample_160,3/1/2023,EDWARDSIA,4
sample_99,3/1/2023,DIOPATRA CUPREA,15
sample_142,3/1/2023,QUISTADRILUS MULTISETOSUS,4
sample_51,3/1/2023,YOLDIA,5
sample_146,3/1/2023,HETEROMYSIS FORMOSA,11
sample_104,3/1/2023,CAECUM REGULARE,7
sample_147,3/1/2023,EUSPIRA,21
sample_129,3/1/2023,THEORA LUBRICA,5
sample_147,3/1/2023,COROPHIIDAE,1
sample_182,3/1/2023,GAMMARUS,12
sample_132,3/1/2023,CLYMENELLA SP.,31
sample_137,3/1/2023,NEANTHES ACUMINATA,30
sample_121,3/1/2023,CERAPUS TUBULARIS,1
sample_59,3/1/2023,COSSURA LONGOCIRRATA,23
sample_22,3/1/2023,DERO,8
sample_48,3/1/2023,DODECACERIA CONCHARUM,19
sample_134,3/1/2023,BITTIUM RETICULATUM,18
sample_138,3/1/2023,SCALIBREGMATIDAE,1
sample_156,3/1/2023,HIPPOLYTE PLEURACANTHA,16
sample_107,3/1/2023,NOTOMITHRAX ,0
sample_99,3/1/2023,ERICHSONELLA FILIFORMIS,20
sample_147,3/1/2023,TUBULANUS POLYMORPHUS,9
sample_96,3/1/2023,SYNCHELIDIUM HAPLOCHELES,2
sample_106,3/1/2023,EUDORELLOPSIS DEFORMIS,11
sample_116,3/1/2023,INERMONEPHTYS INERMIS,5
sample_3,3/1/2023,KELLIELLA MILIARIS,25
sample_145,3/1/2023,AUTOMATE DOLICHOGNATHA,6
sample_63,8/20/2023,POLYCIRRUS MEDUSA,49
sample_144,8/20/2023,CHAETOPTERIDAE,19
sample_192,8/20/2023,KELLIOPSIS ELEVATA,122
sample_43,8/20/2023,PHTISICA MARINA,6
sample_20,8/20/2023,PHERUSA,365
sample_38,8/20/2023,YOLDIA LIMATULA,4
sample_41,8/20/2023,MELITA NITIDA,3
sample_122,8/20/2023,MELINNA MACULATA,74
sample_22,8/20/2023,THYSANOCARDIA PROCERA,4
sample_8,4/20/2023,PHTISICA MARINA,12
sample_146,4/20/2023,LIMNODRILUS MAUMEENSIS,19
sample_166,4/20/2023,TEREBELLIDAE,116
sample_112,4/20/2023,EPITOMAPTA ROSEOLA,7
sample_2,4/20/2023,POLYDORA WEBSTERI,7
sample_126,4/20/2023,ARICIDEA,0
sample_54,4/20/2023,PECTINARIA GOULDII,15
sample_18,4/20/2023,NEPHTYS PICTA,12
sample_162,4/20/2023,IDOTEA PHOSPHOREA,21
sample_8,4/20/2023,CARAZZIELLA,11
sample_163,4/20/2023,SOLAMEN GLANDULA,10
sample_176,4/20/2023,COLOMASTIX HEARDI,93
sample_50,4/20/2023,OLIVA SAYANA,20
sample_200,4/20/2023,LILJEBORGIA KINAHANI,112
sample_98,4/20/2023,PAROUGIA,48
sample_43,4/20/2023,GOLFINGIA (GOLFINGIA) INIQUA,38
sample_178,4/20/2023,ARICIDEA (STRELZOVIA) SUECICA,0
sample_154,4/20/2023,CYLICHNA ATTONSA,92
sample_129,4/20/2023,BULLA STRIATA,64
sample_12,4/20/2023,UPOGEBIA,42
sample_67,4/20/2023,CHAETOPLEURA (CHAETOPLEURA) APICULATA,0
sample_126,4/20/2023,CLINOTANYPUS,12
sample_135,4/20/2023,HETEROMYSIS FORMOSA,67
sample_50,4/20/2023,PHOLOE GLABRA,1
sample_179,4/20/2023,TUBULANUS RHABDOTUS,85
sample_97,4/20/2023,JANIRA MACULOSA,10
sample_66,4/20/2023,FOXIPHALUS OBTUSIDENS,44
sample_44,4/20/2023,GLYCERA TRIDACTYLA,14
sample_186,4/20/2023,ONUPHIS IRIDESCENS,17
sample_132,3/7/2023,AXIOTHELLA,14
sample_63,3/7/2023,SCHISTOMERINGOS RUDOLPHI,13
sample_94,3/7/2023,LEPTOCHEIRUS MARIAE,35
sample_60,3/7/2023,NOETIA PONDEROSA,13
sample_165,3/7/2023,GRANDIDIERELLA JAPONICA,22
sample_193,3/7/2023,MARPHYSA VIRIDIS,1
sample_63,3/7/2023,PARALACYDONIA PARADOXA,8
sample_59,3/7/2023,EULIMELLA COENA,11
sample_156,3/7/2023,MICRURA LEIDYI,3
sample_111,3/7/2023,PORTUNUS XANTUSII,1
sample_174,3/7/2023,CARYOCORBULA,43
sample_43,3/7/2023,STREBLOSOMA CRASSIBRANCHIA,0
sample_146,3/7/2023,EUNICIDAE,2
sample_23,3/7/2023,ONUPHIS ELEGANS,26
sample_35,3/7/2023,POTAMILLA NEGLECTA,7
sample_155,3/7/2023,PLEUSTES DEPRESSA,7
sample_86,3/7/2023,CEPHALOTRICHIDAE,17
sample_97,3/7/2023,PHOXICHILIDIIDAE,4
sample_21,3/7/2023,SEILA CINCTA,6
sample_121,3/7/2023,CHRYSOPETALIDAE,22
sample_102,3/7/2023,ARTHRITICA ,1
sample_129,3/7/2023,ACANTHOCHITONA,11
sample_65,3/7/2023,DULICHIELLA,31
sample_122,3/7/2023,ALIA GAUSAPATA,1
sample_91,3/7/2023,EUCHONE LIMNICOLA,9
sample_32,3/7/2023,EBALIA CARIOSA,25
sample_12,3/7/2023,CIRRIFORMIA MOOREI,6
sample_88,3/7/2023,PARAEHLERSIA FERRUGINA,2
sample_81,2/28/2023,SCOLOPLOS ACUTUS,21
sample_10,2/28/2023,AGRIOPOMA MORRHUANUM,72
sample_145,2/28/2023,BATHYPOREIA PARKERI,12
sample_78,2/28/2023,NEANTHES ACUMINATA,28
sample_81,2/28/2023,LASAEIDAE,21
